Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Norway,7.537,1.616,1.534,0.797,0.635,0.362,0.316
2,Denmark,7.522,1.482,1.551,0.793,0.626,0.355,0.401
3,Iceland,7.504,1.481,1.611,0.834,0.627,0.476,0.154
4,Switzerland,7.494,1.565,1.517,0.858,0.62,0.291,0.367
5,Finland,7.469,1.444,1.54,0.809,0.618,0.245,0.383
6,Netherlands,7.377,1.504,1.429,0.811,0.585,0.47,0.283
7,Canada,7.316,1.479,1.481,0.835,0.611,0.436,0.287
8,New Zealand,7.314,1.406,1.548,0.817,0.614,0.5,0.383
9,Sweden,7.284,1.494,1.478,0.831,0.613,0.385,0.384
10,Australia,7.284,1.484,1.51,0.844,0.602,0.478,0.301
11,Israel,7.213,1.375,1.376,0.838,0.406,0.33,0.085
12,Costa Rica,7.079,1.11,1.416,0.76,0.58,0.215,0.1
13,Austria,7.006,1.487,1.46,0.815,0.568,0.316,0.221
14,United States,6.993,1.546,1.42,0.774,0.506,0.393,0.136
15,Ireland,6.977,1.536,1.558,0.81,0.573,0.428,0.298
16,Germany,6.951,1.488,1.473,0.799,0.563,0.336,0.277
17,Belgium,6.891,1.464,1.462,0.818,0.54,0.232,0.251
18,Luxembourg,6.863,1.742,1.458,0.845,0.597,0.283,0.319
19,United Kingdom,6.714,1.442,1.496,0.805,0.508,0.493,0.265
20,Chile,6.652,1.253,1.284,0.819,0.377,0.327,0.082
21,United Arab Emirates,6.648,1.626,1.266,0.727,0.608,0.361,0.324
22,Brazil,6.635,1.107,1.431,0.617,0.437,0.162,0.111
23,Czech Republic,6.609,1.353,1.434,0.754,0.491,0.088,0.037
24,Argentina,6.599,1.185,1.44,0.695,0.495,0.109,0.06
25,Mexico,6.578,1.153,1.211,0.71,0.413,0.121,0.133
26,Singapore,6.572,1.692,1.354,0.949,0.55,0.346,0.464
27,Malta,6.527,1.343,1.488,0.822,0.589,0.575,0.153
28,Uruguay,6.454,1.218,1.412,0.719,0.579,0.175,0.178
29,Guatemala,6.454,0.872,1.256,0.54,0.531,0.283,0.077
30,Panama,6.452,1.234,1.373,0.706,0.55,0.211,0.071
31,France,6.442,1.431,1.388,0.844,0.47,0.13,0.173
32,Thailand,6.424,1.128,1.426,0.647,0.58,0.572,0.032
34,Spain,6.403,1.384,1.532,0.889,0.409,0.19,0.071
35,Qatar,6.375,1.871,1.274,0.71,0.604,0.33,0.439
36,Colombia,6.357,1.071,1.402,0.595,0.477,0.149,0.047
37,Saudi Arabia,6.344,1.531,1.287,0.59,0.45,0.148,0.273
39,Kuwait,6.105,1.633,1.26,0.632,0.496,0.228,0.215
40,Slovakia,6.098,1.325,1.505,0.713,0.296,0.137,0.024
41,Bahrain,6.087,1.488,1.323,0.653,0.537,0.173,0.257
42,Malaysia,6.084,1.291,1.285,0.619,0.402,0.417,0.066
43,Nicaragua,6.071,0.737,1.287,0.653,0.448,0.302,0.131
44,Ecuador,6.008,1.001,1.286,0.686,0.455,0.15,0.14
45,El Salvador,6.003,0.91,1.182,0.596,0.432,0.078,0.09
46,Poland,5.973,1.292,1.446,0.699,0.52,0.158,0.059
47,Uzbekistan,5.971,0.786,1.549,0.498,0.658,0.416,0.247
48,Italy,5.964,1.395,1.445,0.853,0.256,0.173,0.028
49,Russia,5.963,1.282,1.469,0.547,0.374,0.052,0.033
51,Japan,5.92,1.417,1.436,0.913,0.506,0.121,0.164
52,Lithuania,5.902,1.315,1.474,0.629,0.234,0.01,0.012
53,Algeria,5.872,1.092,1.146,0.618,0.233,0.069,0.146
54,Latvia,5.85,1.261,1.405,0.639,0.326,0.153,0.074
55,South Korea,5.838,1.402,1.128,0.9,0.258,0.207,0.063
56,Moldova,5.838,0.729,1.252,0.589,0.241,0.209,0.01
57,Romania,5.825,1.218,1.15,0.685,0.457,0.134,0.004
58,Bolivia,5.823,0.834,1.228,0.474,0.559,0.226,0.06
59,Turkmenistan,5.822,1.131,1.493,0.438,0.418,0.25,0.259
60,Kazakhstan,5.819,1.285,1.384,0.606,0.437,0.202,0.119
62,Slovenia,5.758,1.341,1.453,0.791,0.573,0.243,0.045
63,Peru,5.715,1.035,1.219,0.63,0.45,0.127,0.047
64,Mauritius,5.629,1.189,1.21,0.638,0.491,0.361,0.042
65,Cyprus,5.621,1.356,1.131,0.845,0.355,0.271,0.041
66,Estonia,5.611,1.321,1.477,0.695,0.479,0.099,0.183
67,Belarus,5.569,1.157,1.445,0.638,0.295,0.155,0.156
68,Libya,5.525,1.102,1.358,0.52,0.466,0.152,0.093
69,Turkey,5.5,1.198,1.338,0.638,0.301,0.047,0.1
70,Paraguay,5.493,0.933,1.507,0.579,0.474,0.224,0.091
72,Philippines,5.43,0.858,1.254,0.468,0.585,0.194,0.099
73,Serbia,5.395,1.069,1.258,0.651,0.209,0.22,0.041
74,Jordan,5.336,0.991,1.239,0.605,0.418,0.172,0.12
75,Hungary,5.324,1.286,1.343,0.688,0.176,0.078,0.037
76,Jamaica,5.311,0.926,1.368,0.641,0.474,0.234,0.055
77,Croatia,5.293,1.223,0.968,0.701,0.256,0.248,0.043
78,Kosovo,5.279,0.951,1.138,0.541,0.26,0.32,0.057
79,China,5.273,1.081,1.161,0.741,0.473,0.029,0.023
80,Pakistan,5.269,0.727,0.673,0.402,0.235,0.315,0.124
81,Indonesia,5.262,0.996,1.274,0.492,0.443,0.612,0.015
82,Venezuela,5.25,1.128,1.431,0.617,0.154,0.065,0.064
83,Montenegro,5.237,1.121,1.238,0.667,0.195,0.198,0.088
84,Morocco,5.235,0.878,0.775,0.598,0.408,0.032,0.088
85,Azerbaijan,5.234,1.154,1.152,0.541,0.398,0.045,0.181
86,Dominican Republic,5.23,1.079,1.402,0.575,0.553,0.187,0.114
87,Greece,5.227,1.289,1.239,0.81,0.096,0.0,0.043
88,Lebanon,5.225,1.075,1.13,0.735,0.289,0.264,0.038
89,Portugal,5.195,1.315,1.367,0.796,0.498,0.095,0.016
90,Bosnia and Herzegovina,5.182,0.982,1.069,0.705,0.204,0.329,0.0
91,Honduras,5.181,0.731,1.144,0.583,0.348,0.236,0.073
94,Vietnam,5.074,0.789,1.277,0.652,0.571,0.235,0.088
95,Nigeria,5.074,0.784,1.216,0.057,0.395,0.231,0.026
