Country or region,2015,2016,2017,2018,2019
Afghanistan,0.32,0.382,0.401,0.332,0.35
Albania,0.879,0.955,0.996,0.916,0.947
Algeria,0.939,1.053,1.092,0.979,1.002
Argentina,1.054,1.151,1.185,1.073,1.092
Armenia,0.768,0.861,0.901,0.816,0.85
Australia,1.334,1.444,1.484,1.34,1.372
Austria,1.337,1.45,1.487,1.341,1.376
Azerbaijan,1.024,1.124,1.154,1.024,1.043
Bahrain,1.324,1.44,1.488,1.338,1.362
Bangladesh,0.398,0.542,0.587,0.532,0.562
Belarus,1.032,1.131,1.157,1.039,1.067
Belgium,1.308,1.425,1.464,1.324,1.356
Benin,0.287,0.395,0.431,0.378,0.393
Bhutan,0.77,0.853,0.885,0.796,0.813
Bolivia,0.681,0.794,0.834,0.751,0.776
Bosnia and Herzegovina,0.832,0.934,0.982,0.915,0.945
Botswana,0.994,1.094,1.122,1.017,1.041
Brazil,0.981,1.088,1.107,0.986,1.004
Bulgaria,1.012,1.113,1.161,1.054,1.092
Burkina Faso,0.258,0.32,0.35,0.314,0.331
Burundi,0.015,0.068,0.092,0.091,0.046
Cambodia,0.46,0.556,0.602,0.549,0.574
Cameroon,0.423,0.525,0.564,0.535,0.549
Canada,1.326,1.44,1.479,1.33,1.365
Chad,0.342,0.422,0.438,0.358,0.35
Chile,1.107,1.217,1.253,1.131,1.159
China,0.89,1.028,1.081,0.989,1.029
Colombia,0.919,1.03,1.071,0.96,0.985
Congo (Brazzaville),0.679,0.771,0.809,0.682,0.673
Congo (Kinshasa),0.0,0.057,0.092,0.069,0.094
Costa Rica,0.956,1.069,1.11,1.01,1.034
Croatia,1.083,1.186,1.223,1.115,1.155
Cyprus,1.208,1.319,1.356,1.229,1.263
Czech Republic,1.179,1.309,1.353,1.233,1.269
Denmark,1.325,1.442,1.482,1.351,1.383
Dominican Republic,0.895,1.028,1.079,0.982,1.015
Ecuador,0.864,0.973,1.001,0.889,0.912
Egypt,0.882,0.954,0.99,0.885,0.913
El Salvador,0.765,0.874,0.91,0.806,0.794
Estonia,1.152,1.28,1.321,1.2,1.237
Ethiopia,0.191,0.293,0.339,0.308,0.336
Finland,1.29,1.406,1.444,1.305,1.34
France,1.278,1.395,1.431,1.293,1.324
Gabon,1.06,1.159,1.198,1.036,1.057
Georgia,0.742,0.838,0.951,0.853,0.886
Germany,1.328,1.448,1.488,1.34,1.373
Ghana,0.546,0.631,0.667,0.592,0.611
Greece,1.154,1.249,1.289,1.154,1.181
