Country_or_region,2015,2016,2017,2018,2019
Afghanistan,0.365,0.313,0.312,0.191,0.158
Albania,0.143,0.168,0.201,0.149,0.178
Algeria,0.078,0.07,0.069,0.055,0.073
Argentina,0.115,0.11,0.109,0.062,0.066
Armenia,0.079,0.078,0.083,0.077,0.095
Australia,0.436,0.474,0.478,0.361,0.332
Austria,0.331,0.329,0.316,0.242,0.244
Azerbaijan,0.078,0.056,0.045,0.031,0.035
Bahrain,0.174,0.171,0.173,0.243,0.255
Bangladesh,0.212,0.191,0.172,0.153,0.166
Belarus,0.11,0.139,0.155,0.101,0.094
Belgium,0.223,0.242,0.232,0.188,0.16
Benin,0.183,0.202,0.208,0.163,0.175
Bhutan,0.48,0.485,0.474,0.364,0.37
Bolivia,0.205,0.217,0.226,0.141,0.137
Bosnia and Herzegovina,0.248,0.299,0.329,0.216,0.263
Botswana,0.105,0.124,0.099,0.042,0.025
Brazil,0.146,0.158,0.162,0.11,0.099
Bulgaria,0.119,0.128,0.113,0.064,0.081
Burkina Faso,0.217,0.244,0.251,0.175,0.177
Burundi,0.197,0.203,0.204,0.149,0.176
Cambodia,0.404,0.403,0.386,0.256,0.232
Cameroon,0.206,0.227,0.236,0.183,0.187
Canada,0.458,0.448,0.436,0.321,0.285
Chad,0.184,0.187,0.216,0.181,0.198
Chile,0.334,0.316,0.327,0.197,0.187
China,0.082,0.05,0.029,0.029,0.058
Colombia,0.184,0.156,0.149,0.099,0.099
Congo (Brazzaville),0.124,0.121,0.121,0.091,0.105
Congo (Kinshasa),0.248,0.255,0.246,0.197,0.212
Costa Rica,0.255,0.226,0.215,0.143,0.144
Croatia,0.054,0.184,0.248,0.12,0.119
Cyprus,0.306,0.279,0.271,0.202,0.19
Czech Republic,0.107,0.099,0.088,0.064,0.046
Denmark,0.341,0.362,0.355,0.284,0.252
Dominican Republic,0.217,0.213,0.187,0.12,0.113
Ecuador,0.115,0.101,0.15,0.114,0.126
Egypt,0.113,0.127,0.129,0.092,0.076
El Salvador,0.107,0.089,0.078,0.065,0.093
Estonia,0.087,0.084,0.099,0.086,0.103
Ethiopia,0.243,0.295,0.313,0.22,0.209
Finland,0.234,0.255,0.245,0.202,0.153
France,0.123,0.122,0.13,0.098,0.111
Gabon,0.068,0.062,0.044,0.032,0.043
Georgia,0.055,0.068,0.054,0.038,0.043
Germany,0.282,0.305,0.336,0.273,0.261
Ghana,0.231,0.212,0.257,0.212,0.245
Greece,0.0,0.0,0.0,0.0,0.0
Guatemala,0.275,0.288,0.283,0.179,0.175
Guinea,0.287,0.299,0.265,0.185,0.207
Haiti,0.462,0.48,0.489,0.392,0.419
Honduras,0.23,0.204,0.236,0.197,0.246
Hungary,0.128,0.099,0.078,0.061,0.081
Iceland,0.436,0.477,0.476,0.353,0.354
India,0.265,0.25,0.232,0.172,0.2
Indonesia,0.515,0.565,0.612,0.484,0.498
Iran,0.381,0.385,0.387,0.282,0.27
Iraq,0.179,0.196,0.2,0.148,0.148
Ireland,0.459,0.45,0.428,0.307,0.298
Israel,0.332,0.323,0.33,0.354,0.261
