Country or region,2015,2016,2017,2018,2019
Afghanistan,153,154,141,145,154
Albania,95,109,109,112,107
Algeria,68,38,53,84,88
Argentina,30,26,24,29,47
Armenia,127,121,121,129,116
Australia,10,9,10,10,11
Austria,13,12,13,12,10
Azerbaijan,80,81,85,87,90
Bahrain,49,42,41,43,37
Bangladesh,109,110,110,115,125
Belarus,59,61,67,73,81
Belgium,19,18,17,16,18
Benin,155,153,143,136,102
Bhutan,79,84,97,97,95
Bolivia,51,59,58,62,61
Bosnia and Herzegovina,96,87,90,93,78
Botswana,128,137,142,146,148
Brazil,16,17,22,28,32
Bulgaria,134,129,105,100,97
Burkina Faso,152,145,134,121,115
Burundi,157,157,154,156,145
Cambodia,145,140,129,120,109
Cameroon,133,114,107,99,96
Canada,5,6,7,7,9
Chad,149,144,137,131,132
Chile,27,24,20,25,26
China,84,83,79,86,93
Colombia,33,31,36,37,43
Congo (Brazzaville),139,127,124,114,103
Congo (Kinshasa),120,125,126,132,127
Costa Rica,12,14,12,13,12
Croatia,62,74,77,82,75
Cyprus,67,69,65,61,49
Czech Republic,31,27,23,21,20
Denmark,3,1,2,3,2
Dominican Republic,98,89,86,83,77
Ecuador,48,51,44,48,50
Egypt,135,120,104,122,137
El Salvador,42,46,45,40,35
Estonia,73,72,66,63,55
Ethiopia,122,115,119,127,134
Finland,6,5,5,1,1
France,29,32,31,23,24
Gabon,143,134,118,103,104
Georgia,130,126,125,128,119
Germany,26,16,16,15,17
Ghana,114,124,131,108,98
Greece,102,99,87,79,82
Guatemala,43,39,29,30,27
Guinea,150,151,149,140,118
Haiti,119,136,145,148,147
Honduras,105,104,91,72,59
Hungary,104,91,75,69,62
Iceland,2,3,3,4,4
India,117,118,122,133,140
Indonesia,74,79,81,96,92
Iran,110,105,108,106,117
Iraq,112,112,117,117,126
Ireland,18,19,15,14,16
Israel,11,11,11,19,13
Italy,50,50,48,47,36
Ivory Coast,151,139,128,107,99
Jamaica,65,73,76,56,56
Japan,46,53,51,54,58
Jordan,82,80,74,90,101
Kazakhstan,54,54,60,60,60
Kenya,125,122,112,124,121
Kosovo,69,77,78,66,46
Kuwait,39,41,39,45,51
Kyrgyzstan,77,85,98,92,86
Latvia,89,68,54,53,53
Lebanon,103,93,88,80,91
Liberia,116,150,148,149,141
Libya,63,67,68,70,72
Lithuania,56,60,52,50,42
Luxembourg,17,20,18,17,14
Madagascar,147,148,144,143,143
Malawi,131,132,136,147,150
Malaysia,61,47,42,35,80
Mali,138,135,127,118,128
Malta,37,30,27,22,22
Mauritania,124,130,123,126,122
Mauritius,71,66,64,55,57
Mexico,14,21,25,24,23
Moldova,52,55,56,67,71
Mongolia,100,101,100,94,83
Montenegro,82,88,83,81,73
Morocco,92,90,84,85,89
Myanmar,129,119,114,130,131
Nepal,121,107,99,101,100
Netherlands,7,7,6,6,5
New Zealand,9,8,8,8,8
Nicaragua,57,48,43,41,45
Niger,144,142,135,134,114
Nigeria,78,103,95,91,85
Norway,4,4,1,2,3
Pakistan,81,92,80,75,67
Palestinian Territories,108,108,103,104,110
Panama,25,25,30,27,31
Paraguay,53,70,70,64,63
Peru,58,64,63,65,65
Philippines,90,82,72,71,69
Poland,60,57,46,42,40
Portugal,88,94,89,77,66
Qatar,28,36,35,32,29
Romania,86,71,57,52,48
Russia,64,56,49,59,68
Rwanda,154,152,151,151,152
Saudi Arabia,35,34,37,33,28
Senegal,142,128,115,109,111
Serbia,87,86,73,78,70
Sierra Leone,123,111,106,113,129
Singapore,24,22,26,34,34
Slovakia,45,45,40,39,38
Slovenia,55,63,62,51,44
South Africa,113,116,101,105,106
South Korea,47,57,55,57,54
Spain,36,37,34,36,30
Sri Lanka,132,117,120,116,130
Sweden,8,10,9,9,7
Switzerland,1,2,4,5,6
Syria,156,156,152,150,149
Tajikistan,106,100,96,88,74
Tanzania,146,149,153,153,153
Thailand,34,33,32,46,52
Togo,158,155,150,139,139
Tunisia,107,98,102,111,124
Turkey,76,78,69,74,79
Turkmenistan,70,65,59,68,87
Uganda,141,145,133,135,136
Ukraine,111,123,132,138,133
United Arab Emirates,20,28,21,20,21
United Kingdom,21,23,19,11,15
United States,15,13,14,18,19
Uruguay,32,29,28,31,33
Uzbekistan,44,49,47,44,41
Venezuela,23,44,82,102,108
Vietnam,75,96,94,95,94
Yemen,136,147,146,152,151
Zambia,85,106,116,125,138
Zimbabwe,115,131,138,144,146
