Country_or_region,2015,2016,2017,2018,2019
Afghanistan,3.575,3.36,3.794,3.632,3.203
Albania,4.959,4.655,4.644,4.586,4.719
Algeria,5.605,6.355,5.872,5.295,5.211
Argentina,6.574,6.65,6.599,6.388,6.086
Armenia,4.35,4.36,4.376,4.321,4.559
Australia,7.284,7.313,7.284,7.272,7.228
Austria,7.2,7.119,7.006,7.139,7.246
Azerbaijan,5.212,5.291,5.234,5.201,5.208
Bahrain,5.96,6.218,6.087,6.105,6.199
Bangladesh,4.694,4.643,4.608,4.5,4.456
Belarus,5.813,5.802,5.569,5.483,5.323
Belgium,6.937,6.929,6.891,6.927,6.923
Benin,3.34,3.484,3.657,4.141,4.883
Bhutan,5.253,5.196,5.011,5.082,5.082
Bolivia,5.89,5.822,5.823,5.752,5.779
Bosnia and Herzegovina,4.949,5.163,5.182,5.129,5.386
Botswana,4.332,3.974,3.766,3.59,3.488
Brazil,6.983,6.952,6.635,6.419,6.3
Bulgaria,4.218,4.217,4.714,4.933,5.011
Burkina Faso,3.587,3.739,4.032,4.424,4.587
Burundi,2.905,2.905,2.905,2.905,3.775
Cambodia,3.819,3.907,4.168,4.433,4.7
Cameroon,4.252,4.513,4.695,4.975,5.044
Canada,7.427,7.404,7.316,7.328,7.278
Chad,3.667,3.763,3.936,4.301,4.35
Chile,6.67,6.705,6.652,6.476,6.444
China,5.14,5.245,5.273,5.246,5.191
Colombia,6.477,6.481,6.357,6.26,6.125
Congo (Brazzaville),3.989,4.236,4.291,4.559,4.812
Congo (Kinshasa),4.517,4.272,4.28,4.245,4.418
Costa Rica,7.226,7.087,7.079,7.072,7.167
Croatia,5.759,5.488,5.293,5.321,5.432
Cyprus,5.689,5.546,5.621,5.762,6.046
Czech Republic,6.505,6.596,6.609,6.711,6.852
Denmark,7.527,7.526,7.522,7.555,7.6
Dominican Republic,4.885,5.155,5.23,5.302,5.425
Ecuador,5.975,5.976,6.008,5.973,6.028
Egypt,4.194,4.362,4.735,4.419,4.166
El Salvador,6.13,6.068,6.003,6.167,6.253
Estonia,5.429,5.517,5.611,5.739,5.893
Ethiopia,4.512,4.508,4.46,4.35,4.286
Finland,7.406,7.413,7.469,7.632,7.769
France,6.575,6.478,6.442,6.489,6.592
Gabon,3.896,4.121,4.465,4.758,4.799
