Country_or_region,2015,2016,2017,2018,2019
Afghanistan,0.303,0.11,0.582,0.537,0.517
Albania,0.804,0.502,0.804,0.817,0.848
Algeria,1.078,0.833,1.146,1.154,1.16
Argentina,1.248,1.066,1.44,1.468,1.432
Armenia,0.777,0.625,1.007,0.99,1.055
Australia,1.309,1.105,1.51,1.573,1.548
Austria,1.297,1.084,1.46,1.504,1.475
Azerbaijan,0.938,0.76,1.152,1.161,1.147
Bahrain,1.216,0.944,1.323,1.366,1.368
Bangladesh,0.431,0.247,0.735,0.85,0.928
Belarus,1.233,1.05,1.445,1.498,1.465
Belgium,1.286,1.052,1.462,1.483,1.504
Benin,0.354,0.104,0.435,0.372,0.437
Bhutan,1.104,0.908,1.34,1.335,1.321
Bolivia,0.978,0.838,1.228,1.223,1.209
Bosnia and Herzegovina,0.919,0.644,1.069,1.078,1.212
Botswana,1.105,0.892,1.222,1.174,1.145
Brazil,1.233,1.039,1.431,1.474,1.439
Bulgaria,1.106,0.925,1.434,1.515,1.513
Burkina Faso,0.852,0.631,1.043,1.097,1.056
Burundi,0.416,0.234,0.63,0.627,0.447
Cambodia,0.627,0.538,1.006,1.088,1.122
Cameroon,0.888,0.625,0.946,0.891,0.91
Canada,1.323,1.096,1.481,1.532,1.505
Chad,0.761,0.632,0.954,0.907,0.766
Chile,1.124,0.906,1.284,1.331,1.369
China,0.947,0.794,1.161,1.142,1.125
Colombia,1.24,1.022,1.402,1.439,1.41
Congo (Brazzaville),0.663,0.478,0.832,0.811,0.799
Congo (Kinshasa),1.001,0.807,1.229,1.136,1.125
Costa Rica,1.238,1.022,1.416,1.459,1.441
Croatia,0.796,0.608,0.968,1.161,1.266
Cyprus,0.893,0.707,1.131,1.191,1.223
Czech Republic,1.206,1.008,1.434,1.489,1.487
Denmark,1.361,1.164,1.551,1.59,1.573
Dominican Republic,1.172,0.995,1.402,1.441,1.401
Ecuador,0.999,0.86,1.286,1.33,1.312
Egypt,0.747,0.498,0.997,1.025,1.039
El Salvador,1.025,0.81,1.182,1.231,1.242
Estonia,1.228,1.052,1.477,1.532,1.528
Ethiopia,0.604,0.379,0.865,0.95,1.033
Finland,1.318,1.135,1.54,1.592,1.587
France,1.26,1.005,1.388,1.466,1.472
Gabon,0.905,0.724,1.156,1.164,1.183
Georgia,0.386,0.192,0.571,0.592,0.666
Germany,1.299,1.098,1.473,1.474,1.454
Ghana,0.68,0.494,0.874,0.896,0.868
Greece,0.929,0.755,1.239,1.202,1.156
Guatemala,1.044,0.871,1.256,1.268,1.269
Guinea,0.465,0.311,0.791,0.792,0.829
Haiti,0.743,0.296,0.64,0.714,0.688
Honduras,0.953,0.756,1.144,1.205,1.236
Hungary,1.202,0.932,1.343,1.401,1.41
Iceland,1.402,1.183,1.611,1.644,1.624
India,0.382,0.292,0.754,0.747,0.765
Indonesia,1.087,0.876,1.274,1.215,1.203
Iran,0.544,0.389,0.712,0.771,0.842
Iraq,0.819,0.592,0.979,0.971,0.98
Ireland,1.369,1.162,1.558,1.583,1.553
